settlement_id,transaction_id,amount,tax,currency,timestamp
SET_0001,TX1001,3233.19,581.97,INR,1756896308
SET_0002,TX1002,3733.6,672.05,INR,1756896636
SET_0003,TX1003,1193.73,214.87,INR,1756896999
SET_0004,TX1004,602.23,108.4,INR,1756897299
SET_0005,TX1005,4471.68,804.9,INR,1756897516
SET_0006,TX1006,2993.41,538.81,INR,1756897809
SET_0007,TX1007,246.01,44.28,INR,1756898132
SET_0008,TX1008,1240.04,223.21,INR,1756898482
SET_0009,TX1009,230.03,41.41,INR,1756898730
SET_0010,TX1010,3608.5,649.53,INR,1756899094
SET_0011,TX1011,2920.21,498.64,INR,1756899333
SET_0012,TX1012,2501.12,414.2,INR,1756899640
SET_0013,TX1013,4066.21,731.92,INR,1756899905
SET_0014,TX1014,3818.16,687.27,INR,1756900225
SET_0015,TX1015,3520.88,633.76,INR,1756900548
SET_0016,TX1016,1461.57,263.08,INR,1756900832
SET_0017,TX1017,4790.34,862.26,INR,1756901148
SET_0018,TX1018,600.83,108.15,INR,1756901453
SET_0019,TX1019,573.91,103.3,INR,1756901813
SET_0020,TX1020,1785.38,321.37,INR,1756902038
SET_0021,TX1021,4054.93,729.89,USD,1756902398
SET_0022,TX1022,2351.18,423.21,USD,1756902620
SET_0023,TX1023,4868.27,876.29,INR,1756902953
SET_0024,TX1024,486.12,87.5,INR,1756903242
SET_0025,TX1025,4164.08,749.53,INR,1756903584
SET_0026,TX1026,4438.71,798.97,INR,1756903851
SET_0027,TX1027,2929.03,527.23,INR,1756904195
SET_0028,TX1028,440.82,79.35,INR,1756904489
SET_0029,TX1029,1216.7,219.01,INR,1756904742
SET_0030,TX1030,4927.59,886.97,INR,1756905114
SET_0031,TX1031,1240.68,248.32,INR,1756905317
SET_0032,TX1032,1962.62,383.27,INR,1756905663
SET_0033,TX1033,3214.85,578.67,INR,1756905951
SET_0034,TX1034,897.01,161.46,INR,1756906250
SET_0035,TX1035,1126.58,202.78,INR,1756906539
SET_0036,TX1036,3538.92,637.01,INR,1756906892
SET_0037,TX1037,3275.37,589.57,INR,1756907182
SET_0038,TX1038,3211.39,578.05,INR,1756907473
SET_0039,TX1039,3672.72,661.09,INR,1756907725
SET_0040,TX1040,2365.08,425.71,INR,1756908039
SET_0041,TX1041,4948.66,890.76,INR,1756998300
SET_0042,TX1042,3471.99,624.96,INR,1757008600
SET_0043,TX1043,3454.61,621.83,INR,1756909012
SET_0044,TX1044,3864.74,695.65,INR,1756909212
SET_0045,TX1045,1222.34,220.02,INR,1756909509
SET_0046,TX1046,4044.72,728.05,INR,1756909856
SET_0047,TX1047,1411.93,254.15,INR,1756910132
SET_0048,TX1048,4574.37,823.39,INR,1756910477
SET_0049,TX1049,4394.2,790.96,INR,1756910745
SET_0050,TX1050,1141.87,205.54,INR,1756911068
SET_0053,TX1053,784.19,141.15,INR,1756912000
SET_0054,TX1054,2850.7,513.13,INR,1756912238
SET_0055,TX1055,3760.37,676.87,INR,1756912559
SET_0056,TX1056,4499.33,809.88,INR,1756912856
SET_0057,TX1057,1873.78,337.28,INR,1756913122
SET_0058,TX1058,2596.68,467.4,INR,1756913416
SET_0059,TX1059,3803.33,684.6,INR,1756913815
SET_0060,TX1060,637.28,114.71,INR,1756914085
SET_0061,TX1061,883.91,159.1,INR,1756914392
SET_0062,TX1062,2168.58,390.34,INR,1756914613
SET_0063,TX1063,1985.36,357.36,INR,1756914981
SET_0064,TX1064,4980.99,896.58,INR,1756915272
SET_0065,TX1065,1331.93,239.75,INR,1756915575
SET_0066,TX1066,4317.82,777.21,INR,1756915806
SET_0067,TX1067,3433.39,618.01,INR,1756916119
SET_0068,TX1068,3440.38,619.27,INR,1756916473
SET_0069,TX1069,3779.3,680.27,INR,1756916803
SET_0070,TX1070,3240.71,583.33,INR,1756917019
SET_0071,TX1071,1538.15,276.87,INR,1756917325
SET_0072,TX1072,2323.25,418.19,INR,1756917697
SET_0073,TX1073,4391.68,790.5,INR,1756917938
SET_0074,TX1074,4862.25,875.2,INR,1756918302
SET_0075,TX1075,975.39,175.57,INR,1756918518
SET_0076,TX1076,4365.54,785.8,INR,1756918843
SET_0077,TX1077,4224.18,760.35,INR,1756919169
SET_0078,TX1078,3083.95,555.11,INR,1756919424
SET_0079,TX1079,1932.18,347.79,INR,1756919725
SET_0080,TX1080,2742.96,493.73,INR,1756920104
SET_0081,TX1081,4619.93,831.59,INR,1756920305
SET_0082,TX1082,3034.83,546.27,INR,1756920667
SET_0083,TX1083,195.44,35.18,INR,1756920951
SET_0084,TX1084,4405.74,793.03,INR,1756921311
SET_0085,TX1085,4053.2,729.58,INR,1756921535
SET_0086,TX1086,383.83,69.09,INR,1756921917
SET_0087,TX1087,2880.05,518.41,INR,1756922115
SET_0088,TX1088,519.7,93.55,INR,1756922467
SET_0089,TX1089,4098.51,737.73,INR,1756922802
SET_0090,TX1090,2710.26,487.85,INR,1756923021
SET_0091,TX1091,729.12,131.24,INR,1756923365
SET_0092,TX1092,4739.56,853.12,INR,1756923626
SET_0093,TX1093,1398.78,251.78,INR,1756924016
SET_0094,TX1094,3072.31,553.02,INR,1756924232
SET_0095,TX1095,4651.68,837.3,INR,1756924601
SET_0096,TX1096,3676.66,661.8,INR,1756924830
SET_0097,TX1097,3593.45,646.82,INR,1756925156
SET_0098,TX1098,4976.23,895.72,INR,1756925488
SET_0099,TX1099,1929.76,347.36,INR,1756925820
SET_0100,TX10100,2636.12,474.5,INR,1756926020
SET_ORPHAN_01,TX9991,750.0,135.0,INR,1756897000
SET_ORPHAN_02,TX9992,850.0,153.0,INR,1756898000
SET_NULL_01,,950.0,171.0,INR,1756899000
SET_NULL_02,,1050.0,189.0,INR,1756900000
SET_DUP_A,TX1061,883.91,159.1,INR,1756914310
SET_DUP_B,TX1062,2168.58,390.34,INR,1756914610
