transaction_id,amount,tax,currency,timestamp,status
TX1001,3233.19,581.97,INR,1756896300,SUCCESS
TX1002,3733.6,672.05,INR,1756896600,SUCCESS
TX1003,1193.73,214.87,INR,1756896900,SUCCESS
TX1004,602.23,108.4,INR,1756897200,SUCCESS
TX1005,4471.68,804.9,INR,1756897500,SUCCESS
TX1006,2993.41,538.81,INR,1756897800,SUCCESS
TX1007,246.01,44.28,INR,1756898100,SUCCESS
TX1008,1240.04,223.21,INR,1756898400,SUCCESS
TX1009,230.03,41.41,INR,1756898700,SUCCESS
TX1010,3608.5,649.53,INR,1756899000,SUCCESS
TX1011,2770.21,498.64,INR,1756899300,SUCCESS
TX1012,2301.12,414.2,INR,1756899600,SUCCESS
TX1013,4066.21,731.92,INR,1756899900,SUCCESS
TX1014,3818.16,687.27,INR,1756900200,SUCCESS
TX1015,3520.88,633.76,INR,1756900500,SUCCESS
TX1016,1461.57,263.08,INR,1756900800,SUCCESS
TX1017,4790.34,862.26,INR,1756901100,SUCCESS
TX1018,600.83,108.15,INR,1756901400,SUCCESS
TX1019,573.91,103.3,INR,1756901700,SUCCESS
TX1020,1785.38,321.37,INR,1756902000,SUCCESS
TX1021,4054.93,729.89,INR,1756902300,SUCCESS
TX1022,2351.18,423.21,INR,1756902600,SUCCESS
TX1023,4868.27,876.29,INR,1756902900,SUCCESS
TX1024,486.12,87.5,INR,1756903200,SUCCESS
TX1025,4164.08,749.53,INR,1756903500,SUCCESS
TX1026,4438.71,798.97,INR,1756903800,SUCCESS
TX1027,2929.03,527.23,INR,1756904100,SUCCESS
TX1028,440.82,79.35,INR,1756904400,SUCCESS
TX1029,1216.7,219.01,INR,1756904700,SUCCESS
TX1030,4927.59,886.97,INR,1756905000,SUCCESS
TX1031,1240.68,223.32,INR,1756905300,SUCCESS
TX1032,1962.62,353.27,INR,1756905600,SUCCESS
TX1033,3214.85,578.67,INR,1756905900,SUCCESS
TX1034,897.01,161.46,INR,1756906200,SUCCESS
TX1035,1126.58,202.78,INR,1756906500,SUCCESS
TX1036,3538.92,637.01,INR,1756906800,SUCCESS
TX1037,3275.37,589.57,INR,1756907100,SUCCESS
TX1038,3211.39,578.05,INR,1756907400,SUCCESS
TX1039,3672.72,661.09,INR,1756907700,SUCCESS
TX1040,2365.08,425.71,INR,1756908000,SUCCESS
TX1041,4948.66,890.76,INR,1756908300,SUCCESS
TX1042,3471.99,624.96,INR,1756908600,SUCCESS
